"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*01eo6*","James Harden","LAC","PG,SG,G,Flx","2","Benny","POR Sun 8:00PM","100","100","14","100%","+99.9%","24","37.1","7.5","16.8",".447","7.0","8.2",".862","3.1","5.6","9.1","1.5","0.8","3.7","25.1"
"*04kj6*","Luka Doncic","LAL","PG,SG,G,Flx","27","Slovenia","@SAC Sun 8:00PM","98.44","100","3.6","100%","+100%","22","36.5","9.4","20.7",".455","7.6","9.5",".804","4.1","7.6","7.8","1.6","0.4","3.9","30.6"
"*04ewn*","OG Anunoby","NY","SF,PF,F,Flx","8","GAS","@MIA Sun 5:00PM","97.93","100","66.6","99%","+98.6%","22","37.4","8.1","16.9",".478","3.6","4.4",".814","2.9","5.3","2.7","1.7","1.0","1.5","22.7"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,G,Flx","1","BOT","","94.5","100","3.6","100%","+99.9%","19","34.1","11.9","23.4",".508","7.5","8.2",".916","2.4","4.3","7.1","1.3","0.9","1.8","33.7"
"*04ewf*","Bam Adebayo","MIA","PF,F,C,Flx","11","herb","NY Sun 5:00PM","93.7","100","27.1","100%","+99.8%","23","34.6","7.7","15.6",".496","3.8","4.6",".829","1.6","8.7","4.4","1.4","0.5","1.8","20.8"
"*03e75*","Nikola Jokic","DEN","C,Flx","3","booty","","93.42","100","1.2","100%","+100%","17","38.9","11.5","20.1",".570","5.9","7.8",".758","1.9","13.1","9.8","1.9","0.6","3.5","30.7"
"*05qug*","Anthony Edwards","MIN","SG,G,SF,F,Flx","4","GAS","IND Sun 6:00PM","92.47","100","7.1","100%","+100%","21","35.6","9.3","19.4",".478","5.8","6.9",".840","3.9","4.9","4.4","1.1","0.7","2.4","28.2"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C,Flx","33","Superswa","@CLE Sun 5:00PM","91.98","100","4.4","100%","+100%","21","34.2","10.7","18.1",".591","7.6","11.0",".688","0.3","11.4","7.9","1.1","0.9","2.3","29.3"
"*027oz*","Kawhi Leonard","LAC","SF,PF,F,Flx","176","BOT","POR Sun 8:00PM","91.32","100","48","98%","+98.2%","20","36.2","9.8","18.8",".524","3.4","4.2",".798","2.4","6.9","3.4","1.9","0.5","1.8","25.4"
"*05qtr*","Devin Vassell","SA","SG,G,SF,F,Flx","68","WIN","BKN Sun 1:00PM","90.05","100","97.1","97%","+96.8%","22","32.6","6.9","14.5",".473","1.3","1.5",".824","3.1","5.0","3.0","1.6","0.6","1.2","18.1"
"*01enh*","Stephen Curry","GS","PG,G,Flx","19","herb","","89.52","100","16.9","99%","+98.7%","20","32.6","8.2","17.9",".457","5.1","5.5",".936","4.5","4.4","6.0","1.4","0.4","2.9","25.9"
"*04ewt*","Derrick White","BOS","PG,SG,G,Flx","9","GAS","@DET Sun 2:30PM","89.28","100","38.5","100%","+99.9%","20","34.6","5.7","13.2",".430","1.8","2.1",".837","3.6","4.8","6.0","1.2","1.0","1.9","16.8"
"*05qt3*","Desmond Bane","ORL","SG,G,SF,F,Flx","34","BOT","","89.15","100","47.6","100%","+99.7%","22","34.0","8.0","16.7",".476","3.0","3.2",".944","2.7","6.7","5.1","1.1","0.4","2.3","21.6"
"*03ad2*","Myles Turner","MIL","C,Flx","28","Benny","@CLE Sun 5:00PM","88.17","100","44.7","100%","+99.7%","22","28.9","5.4","10.8",".502","3.0","3.7",".793","2.2","6.4","1.4","0.5","2.3","1.4","16.0"
"*05uiz*","Quentin Grimes","PHI","SG,G,SF,F,Flx","71","BOT","","88","99","148.2","80%","+80.5%","20","34.8","8.8","18.6",".473","4.4","5.8",".752","3.3","5.1","5.2","1.8","0.3","3.5","25.3"
"*05qtt*","Onyeka Okongwu","ATL","C,Flx","50","WIN","","87.71","100","86.6","98%","+97.9%","22","32.6","6.1","10.7",".568","2.5","3.0",".836","1.1","11.0","2.4","1.1","1.0","1.6","15.8"
"*05qtv*","Tyrese Haliburton","IND","PG,SG,G,Flx","7","FA","@MIN Sun 6:00PM","87.18","10","281.4","49%","+49%","17","32.1","6.9","13.6",".509","2.7","3.2",".836","2.8","3.7","10.8","1.6","0.7","1.3","19.4"
"*05uus*","Austin Reaves","LAL","PG,SG,G,SF,F,Flx","26","herb","@SAC Sun 8:00PM","87.11","100","44.5","100%","+99.9%","21","35.3","7.4","15.1",".491","4.4","4.9",".902","3.2","5.0","5.0","1.0","0.4","2.3","22.4"
"*027pe*","Jimmy Butler","GS","SF,PF,F,Flx","90","GAS","","86.98","100","53.9","98%","+98.1%","22","33.6","5.5","11.1",".492","6.8","7.8",".871","0.8","5.4","6.0","1.8","0.2","1.6","18.5"
"*051ot*","Tyler Herro","MIA","PG,SG,G,Flx","25","Universa","NY Sun 5:00PM","86.66","100","63.1","98%","+97.9%","22","34.6","8.9","17.6",".503","3.6","3.9",".919","2.3","4.5","5.1","1.0","0.5","2.3","23.6"
"*06mju*","Alex Sarr","WAS","PF,F,C,Flx","61","Slovenia","CHA Sun 5:00PM","86.17","100","73.8","99%","+99.3%","24","27.5","5.7","14.5",".394","2.2","2.9",".757","1.7","6.3","2.8","0.6","1.4","2.3","15.3"
"*05uic*","Jalen Green","PHO","PG,SG,G,Flx","32","SMAC777","","86.11","100","59.6","99%","+99.1%","23","31.7","6.8","16.7",".408","3.3","4.3",".770","2.6","5.1","4.2","1.0","0.4","2.2","19.6"
"*05uid*","Evan Mobley","CLE","PF,F,C,Flx","16","BOT","MIL Sun 5:00PM","85.18","100","19.6","100%","+99.7%","19","31.9","6.8","13.1",".522","2.9","4.6",".644","1.6","9.4","3.5","0.8","1.6","2.3","18.2"
"*03xmv*","Jayson Tatum","BOS","SF,PF,F,Flx","6","FA","@DET Sun 2:30PM","84.51","54","229","69%","+68.8%","16","36.7","9.8","21.9",".449","4.8","5.6",".865","3.1","8.6","6.8","0.8","0.6","3.1","27.5"
"*04qrp*","Miles Bridges","CHA","SF,PF,F,Flx","48","Benny","@WAS Sun 5:00PM","84.28","100","69.3","100%","+99.5%","20","31.0","7.5","17.3",".435","4.0","4.5",".878","2.3","7.0","4.3","0.5","0.8","2.0","21.2"
"*06210*","Paolo Banchero","ORL","PF,F,Flx","103","Universa","","84.27","100","21.7","100%","+99.9%","19","36.1","10.0","20.6",".485","6.9","8.7",".795","2.1","8.2","4.6","1.0","0.4","2.8","29.1"
"*06mjw*","Stephon Castle","SA","PG,SG,G,Flx","85","herb","BKN Sun 1:00PM","83.7","100","104.5","98%","+98.4%","25","30.2","6.8","14.8",".456","4.4","6.1",".717","1.4","5.2","5.6","0.9","0.3","2.8","19.3"
"*051on*","Coby White","CHI","PG,SG,G,Flx","54","Benny","","83.7","100","61.7","99%","+99.5%","22","34.3","8.7","17.4",".501","5.7","6.3",".906","2.8","4.6","4.0","0.9","0.2","2.5","26.0"
"*042nt*","Ivica Zubac","LAC","C,Flx","58","herb","POR Sun 8:00PM","83.42","100","42.9","100%","+99.8%","24","34.7","8.9","13.5",".658","2.3","3.3",".718","0.0","12.8","3.0","0.4","1.0","1.4","20.2"
"*05uie*","Scottie Barnes","TOR","SF,PF,F,Flx","18","Universa","@DAL Sun 6:30PM","83.25","100","25.6","100%","+99.9%","20","28.7","6.8","15.4",".440","3.3","4.6",".707","0.9","7.6","5.0","1.4","0.7","2.6","17.8"
"*042nm*","Pascal Siakam","IND","SF,PF,F,Flx","13","Slovenia","@MIN Sun 6:00PM","83.25","100","30.8","99%","+99%","21","31.7","8.0","15.5",".515","2.4","3.6",".671","1.5","5.8","3.5","0.9","0.8","1.8","20.0"
"*02nfz*","Draymond Green","GS","PF,F,C,Flx","69","booty","","82.76","100","108.1","95%","+95.4%","23","30.7","3.3","8.1",".414","1.6","2.0",".766","1.3","6.5","5.7","1.7","0.9","2.8","9.5"
"*06cd4*","Toumani Camara","POR","PF,F,Flx","38","booty","@LAC Sun 8:00PM","82.71","100","97.8","97%","+96.7%","21","33.4","5.0","11.0",".461","1.2","1.9",".641","2.4","5.2","2.7","1.5","0.6","1.2","13.7"
"*06mle*","Kyle Filipowski","UTA","PF,F,C,Flx","154","WIN","","81.92","100","131.6","86%","+86.2%","24","26.3","5.6","11.4",".489","1.9","2.7",".703","1.6","8.7","2.1","0.9","0.6","2.0","14.7"
"*04qrk*","Trae Young","ATL","PG,G,Flx","37","WIN","","81.86","100","9.6","100%","+99.9%","21","35.4","7.7","18.1",".425","7.0","7.7",".919","2.7","3.1","12.0","1.3","0.0","4.2","25.2"
"*04qrr*","Michael Porter","BKN","SF,PF,F,Flx","36","herb","@SA Sun 1:00PM","81.58","100","66.8","99%","+98.7%","21","35.0","6.4","13.0",".493","2.1","2.6",".815","2.4","7.6","2.0","0.7","0.6","1.4","17.2"
"*005ki*","Brook Lopez","LAC","C,Flx","29","GAS","POR Sun 8:00PM","81.46","80","191.2","62%","+61.6%","23","31.6","5.5","9.4",".588","1.4","1.8",".805","1.4","5.3","1.9","0.5","1.6","1.2","13.9"
"*01eon*","DeMar DeRozan","SAC","SF,F,Flx","51","Slovenia","LAL Sun 8:00PM","81.38","100","58.2","100%","+99.5%","24","36.3","8.2","18.2",".451","5.1","6.2",".824","1.2","3.7","5.8","0.3","0.4","1.5","22.7"
"*03ad3*","Karl-Anthony Towns","NY","PF,F,C,Flx","14","WIN","@MIA Sun 5:00PM","81.17","100","11.3","99%","+99.4%","20","34.7","8.6","16.8",".510","4.6","5.7",".807","1.7","11.0","2.7","0.9","0.6","2.9","23.4"
"*05uig*","Josh Giddey","CHI","PG,SG,G,Flx","43","Benny","","81.14","100","23.8","100%","+99.9%","15","34.2","7.0","14.6",".479","4.8","6.1",".783","1.5","10.4","9.7","1.5","0.7","3.3","20.3"
"*04ewm*","Jarrett Allen","CLE","C,Flx","55","GAS","MIL Sun 5:00PM","81.13","100","58.7","100%","+99.7%","24","26.5","5.4","7.6",".710","2.5","3.7",".685","0.0","8.3","1.9","1.0","0.8","1.2","13.4"
"*005kc*","Russell Westbrook","SAC","PG,G,Flx","63","FA","LAL Sun 8:00PM","80.99","51","233.7","54%","+54.2%","23","29.0","5.3","12.6",".421","2.2","3.1",".708","1.5","4.7","5.7","1.4","0.6","3.6","14.3"
"*05uiq*","Alperen Sengun","HOU","C,Flx","31","Superswa","","80.98","100","17.5","100%","+100%","20","32.8","7.7","14.6",".526","4.1","6.1",".672","0.1","9.8","5.2","0.9","0.8","2.9","19.6"
"*04ewu*","Josh Hart","NY","SG,G,SF,F,Flx","39","Universa","@MIA Sun 5:00PM","80.84","100","70.2","100%","+99.5%","22","37.1","4.2","9.6",".441","1.5","2.2",".688","1.1","9.0","6.2","1.6","0.3","2.0","11.1"
"*0621c*","Jalen Duren","DET","C,Flx","77","SMAC777","BOS Sun 2:30PM","80.8","100","56.7","100%","+99.7%","22","26.8","5.4","7.9",".682","2.8","4.3",".649","0.0","10.4","2.8","0.7","1.2","1.5","13.5"
"*051ol*","Darius Garland","CLE","PG,G,Flx","49","BOT","MIL Sun 5:00PM","80.31","100","71.9","97%","+97%","21","32.2","6.8","16.1",".419","2.6","2.9",".902","2.5","3.7","6.9","1.3","0.0","2.6","18.7"
"*0011e*","LeBron James","LAL","SF,PF,F,Flx","17","WIN","@SAC Sun 8:00PM","80.06","100","25.4","98%","+97.8%","17","35.6","8.6","17.6",".488","4.3","5.2",".830","1.6","7.2","6.8","1.3","0.5","3.1","23.1"
"*06217*","Dyson Daniels","ATL","SG,G,SF,F,Flx","41","Slovenia","","80.05","100","44.2","100%","+99.8%","22","33.4","6.3","11.8",".535","0.9","1.6",".528","0.9","6.6","5.3","2.9","0.6","2.5","14.4"
"*04qrj*","Jaren Jackson","MEM","PF,F,C,Flx","5","Benny","","79.93","100","55.1","99%","+98.9%","18","30.3","7.2","15.7",".459","3.3","3.9",".843","2.3","4.6","1.4","1.1","1.1","1.6","20.0"
"*05qtj*","Deni Avdija","POR","SG,G,SF,PF,F,Flx","56","SMAC777","@LAC Sun 8:00PM","79.9","100","44.2","100%","+99.8%","16","35.8","8.2","16.1",".508","5.8","7.1",".816","2.8","10.6","5.5","1.0","0.4","3.8","24.9"
"*0621k*","Christian Braun","DEN","SG,G,SF,F,Flx","42","GAS","","79.51","100","92.4","99%","+98.6%","21","36.2","6.7","11.2",".597","2.0","2.4",".820","1.7","5.3","3.7","1.0","0.3","1.2","17.0"
"*06216*","Shaedon Sharpe","POR","SG,G,SF,F,Flx","83","WIN","@LAC Sun 8:00PM","79.16","100","82.9","99%","+99.2%","21","35.3","8.1","17.5",".463","3.1","4.1",".767","2.2","6.3","3.3","1.0","0.1","2.6","21.5"
"*04ewe*","Donovan Mitchell","CLE","PG,SG,G,Flx","15","GAS","MIL Sun 5:00PM","78.81","100","19.1","99%","+99.5%","16","32.6","7.6","18.8",".402","6.6","7.9",".833","2.3","5.4","5.7","1.3","0.4","2.4","23.9"
"*05qt4*","Aaron Nesmith","IND","SF,PF,F,Flx","245","Slovenia","@MIN Sun 6:00PM","78.79","100","132.1","89%","+88.7%","23","28.2","5.4","10.4",".517","1.6","1.8",".902","2.5","4.3","1.0","1.0","0.4","0.8","14.9"
