"ID","Player","Team","Position","RkOv","Status","Opponent","Score","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*06cch*","Victor Wembanyama","SA","C,Flx","1","Universa","@PHO Sun 7:00PM","100","100%","0%","5","33.8","10.8","19.2",".563","7.6","9.6",".792","1.0","14.6","3.4","1.4","4.8","1.8","30.2"
"*05uid*","Evan Mobley","CLE","PF,F,C,Flx","2","BOT","ATL Sun 5:00PM","98.01","100%","0%","6","34.0","6.8","14.8",".461","4.7","6.7",".700","1.8","9.0","4.3","1.8","1.8","2.7","20.2"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,G,Flx","3","BOT","NO 68<br/>@OKC 85","97.33","100%","0%","7","35.1","11.3","21.6",".523","7.7","8.7",".885","1.4","4.9","5.9","1.0","1.1","2.1","31.7"
"*05qsq*","Tyrese Maxey","PHI","PG,SG,G,Flx","4","Slovenia","@BKN Sun 5:00PM","97.15","100%","0%","5","43.1","10.8","23.4",".462","9.2","10.6",".868","4.4","4.6","9.4","1.2","1.0","2.6","35.2"
"*01enh*","Stephen Curry","GS","PG,G,Flx","5","herb","","94.75","99%","-0.1%","7","30.8","8.6","18.4",".465","5.1","5.4",".947","4.3","3.6","4.4","1.6","0.6","3.0","26.6"
"*05qto*","LaMelo Ball","CHA","PG,G,Flx","6","herb","UTA Sun 5:00PM","93.84","100%","0%","6","33.3","8.2","19.0",".430","3.7","4.5",".815","3.3","7.8","9.8","1.7","0.2","3.7","23.3"
"*05uus*","Austin Reaves","LAL","PG,SG,G,SF,F,Flx","7","herb","MIA Sun 8:30PM","93.44","100%","0%","6","37.8","9.5","18.8",".504","10.2","11.2",".910","2.8","5.3","9.0","1.7","0.0","3.5","32.0"
"*06210*","Paolo Banchero","ORL","PF,F,Flx","8","Universa","","93.08","100%","0%","7","34.1","7.4","16.3",".456","7.3","9.9",".739","1.1","9.3","4.0","0.7","1.3","2.6","23.3"
"*042nm*","Pascal Siakam","IND","SF,PF,F,Flx","9","Goon","","92.18","99%","+0.1%","6","35.2","9.0","20.3",".443","4.8","8.5",".569","2.2","9.0","4.8","1.3","0.3","2.2","25.0"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C,Flx","10","Goon","","91.78","100%","0%","5","32.6","13.0","19.0",".684","7.2","11.2",".643","1.0","13.4","7.2","0.8","1.2","2.8","34.2"
"*03ajv*","Julius Randle","MIN","PF,F,Flx","11","Goon","","91.6","100%","0%","6","34.7","9.5","16.8",".564","5.5","6.7",".825","2.7","6.5","5.2","1.2","0.3","2.2","27.2"
"*03e75*","Nikola Jokic","DEN","C,Flx","12","booty","","91.26","100%","0%","5","34.7","7.8","13.2",".591","3.8","4.4",".864","1.0","14.4","10.8","1.8","0.8","3.0","20.4"
"*027pe*","Jimmy Butler","GS","SF,PF,F,Flx","13","12?","","91","98%","-0.1%","7","33.5","6.3","12.7",".494","7.6","8.4",".898","1.3","5.6","4.9","1.3","0.4","1.7","21.4"
"*04ewt*","Derrick White","BOS","PG,SG,G,Flx","14","12?","","89.78","100%","-0.1%","7","32.2","5.1","16.7",".308","2.3","2.6",".889","2.4","3.6","4.0","1.4","1.0","1.0","15.0"
"*05uiq*","Alperen Sengun","HOU","PF,F,C,Flx","15","Goon","","89.74","100%","0%","5","36.5","7.0","14.8",".473","6.4","8.2",".780","1.8","8.4","7.6","1.8","1.0","3.2","22.2"
"*04azw*","Lauri Markkanen","UTA","SF,PF,F,Flx","16","SMAC777","@CHA Sun 5:00PM","88.9","99%","+0.3%","5","37.5","10.8","21.4",".505","8.2","9.4",".872","4.0","6.6","2.2","0.6","0.8","1.2","33.8"
"*05uii*","Franz Wagner","ORL","SF,PF,F,Flx","17","BOT","","88.73","100%","0%","7","34.2","8.0","15.7",".509","4.7","6.1",".767","1.9","5.6","3.4","1.3","0.3","1.9","22.6"
"*05uie*","Scottie Barnes","TOR","SF,PF,F,Flx","18","Universa","MEM Sun 5:00PM","87.29","100%","0%","6","33.1","8.0","15.3",".522","2.8","4.0",".708","2.0","6.7","4.5","1.3","0.8","2.3","20.8"
"*05uib*","Cade Cunningham","DET","PG,SG,G,Flx","19","herb","","86.97","100%","0%","6","35.5","7.5","18.7",".402","5.3","6.8",".780","1.7","5.7","9.8","1.2","1.0","3.8","22.0"
"*04qrp*","Miles Bridges","CHA","SF,PF,F,Flx","20","Benny","UTA Sun 5:00PM","84.44","100%","0%","6","33.1","6.7","15.3",".435","3.7","4.2",".880","3.2","6.8","3.2","0.7","0.3","1.3","20.2"
"*03nwm*","Devin Booker","PHO","PG,SG,G,SF,F,Flx","21","Benny","SA Sun 7:00PM","83.77","99%","0%","6","36.7","9.8","20.0",".492","7.5","9.2",".818","3.2","4.3","6.5","0.3","0.5","4.0","30.3"
"*06mju*","Alex Sarr","WAS","PF,F,C,Flx","22","Slovenia","","83.38","100%","+0.1%","6","27.4","6.8","12.8",".532","2.3","3.0",".778","1.0","8.5","3.7","0.7","2.2","2.8","17.0"
"*027oz*","Kawhi Leonard","LAC","SF,PF,F,Flx","23","BOT","","83.32","98%","-0.1%","5","32.8","8.6","16.8",".512","4.2","4.4",".955","2.4","6.0","3.4","2.2","0.4","1.8","23.8"
"*06mkg*","Kyshawn George","WAS","SG,G,SF,PF,F,Flx","24","SMAC777","","82.33","95%","+0.7%","6","31.2","6.8","12.3",".554","1.7","2.7",".625","3.0","7.8","4.5","0.8","1.3","3.3","18.3"
"*03lls*","Jaylen Brown","BOS","SG,G,SF,F,Flx","25","SMAC777","","82.07","99%","-0.1%","7","31.0","9.4","17.6",".537","3.9","5.1",".750","2.7","4.7","4.3","0.6","0.4","4.0","25.4"
"*01eo9*","Jrue Holiday","POR","PG,SG,G,Flx","26","Universa","","81.97","97%","+1%","6","32.3","6.8","14.2",".482","2.0","2.5",".800","2.5","5.0","8.7","1.5","0.3","3.0","18.2"
"*06227*","Ryan Rollins","MIL","PG,G,Flx","27","booty","","81.96","69%","+16.3%","6","32.0","6.8","12.7",".539","2.5","2.8",".882","2.0","3.7","5.5","2.3","0.2","2.2","18.2"
"*03aq2*","Jerami Grant","POR","SF,PF,F,Flx","28","BOT","","81.89","84%","+1.8%","6","28.2","5.8","11.7",".500","6.5","7.3",".886","2.5","3.0","1.2","1.5","0.7","1.5","20.7"
"*05qtt*","Onyeka Okongwu","ATL","C,Flx","29","WIN","@CLE Sun 5:00PM","80.37","99%","+0.5%","6","30.1","5.8","10.5",".556","2.0","3.3",".600","1.3","9.2","2.3","0.5","1.2","0.5","15.0"
"*05qt1*","Payton Pritchard","BOS","PG,G,Flx","30","herb","","79.98","99%","-0.1%","7","32.7","5.6","13.6",".411","2.1","2.7",".789","1.3","4.1","5.6","1.3","0.0","1.1","14.6"
"*001aw*","Kevin Durant","HOU","SG,G,PF,F,Flx","31","booty","","79.91","99%","-0.1%","5","35.0","8.6","15.6",".551","8.2","9.6",".854","1.8","5.4","1.8","1.2","1.0","2.2","27.2"
"*04qsa*","Jalen Brunson","NY","PG,G,Flx","32","Slovenia","CHI Sun 6:00PM","79.88","100%","0%","5","34.8","11.0","22.8",".482","6.6","8.0",".825","2.6","3.6","5.4","1.0","0.0","2.0","31.2"
"*02nf1*","Anthony Davis","DAL","PF,F,C,Flx","33","SMAC777","","79.8","100%","0%","5","29.9","7.8","15.0",".520","4.6","6.2",".742","0.6","10.2","2.2","1.6","1.2","2.2","20.8"
"*05uig*","Josh Giddey","CHI","PG,SG,G,Flx","34","Benny","@NY Sun 6:00PM","79.59","100%","0%","5","32.7","7.6","15.8",".481","4.8","6.8",".706","2.0","8.8","8.0","0.6","0.4","3.2","22.0"
"*04qrn*","Mikal Bridges","NY","SG,G,SF,PF,F,Flx","35","Goon","CHI Sun 6:00PM","79.47","100%","0%","5","36.7","7.0","12.4",".565","2.4","2.8",".857","2.6","6.2","4.8","1.2","0.8","0.8","19.0"
"*05uih*","Jonathan Kuminga","GS","PF,F,C,Flx","36","Universa","","79.41","97%","+0.7%","7","30.9","6.1","11.6",".531","3.7","4.4",".839","1.4","7.1","3.3","0.6","0.3","2.4","17.4"
"*03ams*","Zach LaVine","SAC","SG,G,SF,F,Flx","37","Universa","","79.3","98%","0%","6","37.0","10.2","19.2",".530","5.5","5.8",".943","3.7","3.2","1.7","0.5","0.2","1.8","29.5"
"*042n4*","Jamal Murray","DEN","PG,SG,G,Flx","38","booty","","79.19","99%","-0.1%","5","33.7","9.8","19.0",".516","3.8","4.0",".950","2.6","4.6","5.4","1.2","0.0","2.0","26.0"
"*05qtj*","Deni Avdija","POR","SG,G,SF,PF,F,Flx","39","SMAC777","","78.96","100%","0%","6","32.4","7.5","15.3",".489","5.3","6.7",".800","2.3","6.0","4.2","0.5","0.8","3.8","22.7"
"*01eon*","DeMar DeRozan","SAC","SF,F,Flx","40","Goon","","78.77","100%","0%","6","37.2","7.7","15.2",".505","4.8","6.2",".784","0.5","4.3","4.8","1.2","0.2","1.2","20.7"
"*04qry*","Grayson Allen","PHO","PG,SG,G,Flx","41","12?","SA Sun 7:00PM","78.75","72%","+2.6%","6","34.6","5.3","13.3",".400","2.5","3.0",".833","3.2","3.7","5.3","1.2","0.3","2.2","16.3"
