"ID","Player","Team","Position","RkOv","Status","Opponent","Score","%D","ADP","Ros","+/-","GP","MIN","FGM","FGA","FG%","FTM","FTA","FT%","3PTM","REB","AST","ST","BLK","TO","PTS"
"*01enh*","Stephen Curry","GS","PG,G,Flx","1","herb","","100","100","16.9","99%","+98.7%","3","32.1","10.7","20.3",".525","6.7","6.7","1.000","5.3","4.3","4.7","2.3","1.3","2.7","33.3"
"*04qro*","Shai Gilgeous-Alexander","OKC","PG,G,Flx","2","BOT","","96.19","100","3.6","100%","+99.9%","3","40.4","13.0","24.7",".527","12.3","14.7",".841","1.7","6.0","5.0","1.7","1.3","2.3","40.0"
"*06cch*","Victor Wembanyama","SA","C,Flx","3","Universa","BKN 11<br/>@SA 5","91.81","100","2.5","100%","+100%","3","22.1","9.3","15.3",".609","4.0","5.0",".800","0.3","9.7","1.3","0.7","4.7","0.0","23.0"
"*04kj6*","Luka Doncic","LAL","PG,SG,G,Flx","4","Slovenia","@SAC Sun 8:00PM","91.06","100","3.6","100%","+100%","2","38.0","15.5","25.0",".620","11.5","14.5",".793","3.5","11.5","8.5","1.0","0.5","3.0","46.0"
"*06211*","Chet Holmgren","OKC","PF,F,C,Flx","5","GAS","","89.9","100","31.5","100%","+99.9%","3","34.9","7.7","13.7",".561","6.7","7.3",".909","2.7","10.0","1.7","1.7","0.3","3.0","24.7"
"*05qsq*","Tyrese Maxey","PHI","PG,SG,G,Flx","6","Slovenia","","88.46","100","20.2","100%","+100%","2","41.6","10.0","22.0",".455","8.5","10.0",".850","5.5","4.0","7.5","1.0","1.0","1.5","34.0"
"*06mkg*","Kyshawn George","WAS","SG,G,SF,PF,F,Flx","7","SMAC777","CHA Sun 5:00PM","86.04","99","152.4","92%","+92.3%","2","33.7","9.0","15.0",".600","4.5","6.5",".692","5.0","10.0","4.0","1.5","2.5","3.5","27.5"
"*06v5v*","Cedric Coward","MEM","SG,G,SF,F,Flx","8","GAS","","85.1","14","282.1","50%","+50%","3","22.7","6.3","9.0",".704","3.7","4.0",".917","2.7","3.7","2.3","1.7","0.3","0.0","19.0"
"*05uiq*","Alperen Sengun","HOU","C,Flx","9","Superswa","","85.08","100","17.5","100%","+100%","2","43.5","8.5","21.0",".405","8.5","10.5",".810","2.5","9.0","7.0","2.5","0.5","3.5","28.0"
"*027pe*","Jimmy Butler","GS","SF,PF,F,Flx","10","GAS","","84.88","100","53.9","98%","+98.1%","3","33.3","5.3","12.3",".432","10.3","11.3",".912","1.0","4.3","4.7","1.7","0.0","0.7","22.0"
"*03al0*","Aaron Gordon","DEN","PF,F,Flx","11","SMAC777","","83.47","100","116.9","96%","+95.9%","2","31.9","11.0","16.0",".688","6.0","6.0","1.000","5.5","5.0","1.5","1.5","0.5","1.0","33.5"
"*031m2*","Giannis Antetokounmpo","MIL","PF,F,C,Flx","12","Superswa","@CLE Sun 5:00PM","81.09","100","4.4","100%","+100%","2","32.2","13.5","20.0",".675","5.5","9.5",".579","1.5","17.0","6.0","0.0","0.5","3.5","34.0"
"*04ewe*","Donovan Mitchell","CLE","PG,SG,G,Flx","13","GAS","MIL Sun 5:00PM","80.66","100","19.1","99%","+99.5%","2","35.4","11.0","20.0",".550","7.0","8.5",".824","4.0","2.0","5.0","2.5","0.5","3.0","33.0"
